Four Digit Industries,Year,Capital productivity (2007=100),Capital productivity (percent change),Capital (2007=100),Capital (percent change),Capital costs (Million $),Capital costs (percent change),Capital cost share,Capital cost share (percent change),Capital intensity (2007=100),Capital intensity (percent change),Contribution of capital intensity (2007=100),Contribution of capital intensity (percent change),Labor productivity (2007=100),Labor productivity (percent change),Hours worked (2007=100),Hours worked (percent change),Labor compensation (Million $),Labor compensation (percent change),Labor cost share,Labor cost share (percent change),Hours worked (millions),Hours worked (percent change),Multifactor productivity (2007=100),Multifactor productivity (percent change),Combined inputs (2007=100),Combined inputs (percent change),Combined inputs costs (Million $),Combined inputs costs (percent change),Implicit combined inputs deflator (2007=100),Implicit combined inputs deflator (percent change),Intermediate purchases productivity (2007=100),Intermediate purchases productivity (percent change),Intermediate purchases (2007=100),Intermediate purchases (percent change),Intermediate purchases costs (Million $),Intermediate purchases costs (percent change),Intermediate purchases cost share,Intermediate purchases cost share (percent change),Intermediate purchases to hours ratio (2007=100),Intermediate purchases to hours ratio (percent change),Contribution of intermediate purchases intensity (2007=100),Contribution of intermediate purchases intensity (percent change),Output (2007=100),Output (percent change),Implicit output deflator (2007=100),Implicit output deflator (percent change),Value of production (Million $),Value of production (percent change),Unit labor costs (2007=100),Unit labor costs (percent change),Labor compensation (2007=100),Labor compensation (percent change),Hourly compensation (2007=100),Hourly compensation (percent change),Output per employee (2007=100),Output per employee (percent change),Employment (2007=100),Employment (percent change),Employment (thousands),Employment (percent change)
3113 - Sugar and confectionery product manufacturing,1997,109.887,-1.1,93.837,1.9,5556.842,3.4,0.262,-0.4,77.585,2.3,91.973,0.6,85.257,1.2,120.947,-0.4,3286.034,2.5,0.155,-1.3,171.395,-0.4,90.208,-1.9,114.308,2.7,21240.181,3.8,76.873,1.1,81.042,-3.1,127.236,4,12397.305,4.4,0.584,0.5,105.2,4.5,102.759,2.6,103.115,0.8,85.217,3,21240.181,3.8,87.356,1.7,90.077,2.5,74.477,2.9,76.977,1,133.955,-0.2,100.6,-0.2
3113 - Sugar and confectionery product manufacturing,1998,110.134,0.2,98.207,4.7,6486.864,16.7,0.293,11.8,78.836,1.6,92.382,0.4,86.825,1.8,124.571,3,3377.085,2.8,0.152,-1.9,176.532,3,92.443,2.5,117,2.4,22158.701,4.3,78.351,1.9,84.096,3.8,128.614,1.1,12294.752,-0.8,0.555,-5,103.245,-1.9,101.668,-1.1,108.159,4.9,84.756,-0.5,22158.701,4.3,85.59,-2,92.573,2.8,74.313,-0.2,80.423,4.5,134.487,0.4,101,0.4
3113 - Sugar and confectionery product manufacturing,1999,105.453,-4.3,101.634,3.5,6885.188,6.1,0.312,6.5,86.616,9.9,95.05,2.9,91.339,5.2,117.339,-5.8,3403.628,0.8,0.154,1.3,166.283,-5.8,92.979,0.6,115.269,-1.5,22049.181,-0.5,79.135,1,85.836,2.1,124.862,-2.9,11760.365,-4.3,0.533,-4,106.411,3.1,103.352,1.7,107.176,-0.9,85.111,0.4,22049.181,-0.5,87.053,1.7,93.301,0.8,79.513,7,83.931,4.4,127.696,-5,95.9,-5
3113 - Sugar and confectionery product manufacturing,2000,108.49,2.9,103.628,2,7647.296,11.1,0.337,8,87.821,1.4,95.477,0.4,95.277,4.3,117.998,0.6,3446.099,1.2,0.152,-1.3,167.217,0.6,99.533,7,112.953,-2,22659.592,2.8,82.994,4.9,94.906,10.6,118.46,-5.1,11566.197,-1.7,0.51,-4.3,100.392,-5.7,100.258,-3,112.425,4.9,83.383,-2,22659.592,2.8,84.024,-3.5,94.465,1.2,80.056,0.7,90.884,8.3,123.702,-3.1,92.9,-3.1
3113 - Sugar and confectionery product manufacturing,2001,107.179,-1.2,102.062,-1.5,7911.977,3.5,0.352,4.5,85.041,-3.2,94.424,-1.1,91.146,-4.3,120.014,1.7,3519.22,2.1,0.157,3.3,170.074,1.7,100.614,1.1,108.721,-3.7,22451.421,-0.9,85.431,2.9,99.137,4.5,110.341,-6.9,11020.225,-4.7,0.491,-3.7,91.94,-8.4,95.94,-4.3,109.389,-2.7,84.91,1.8,22451.421,-0.9,88.189,5,96.469,2.1,80.381,0.4,91.482,0.7,119.574,-3.3,89.8,-3.3
3113 - Sugar and confectionery product manufacturing,2002,104.399,-2.6,99.96,-2.1,7734.367,-2.2,0.349,-0.9,86.206,1.4,94.876,0.5,89.997,-1.3,115.956,-3.4,3523.812,0.1,0.159,1.3,164.322,-3.4,97.326,-3.3,107.224,-1.4,22134.713,-1.4,85.403,0,94.796,-4.4,110.086,-0.2,10876.533,-1.3,0.491,0,94.938,3.3,97.464,1.6,104.357,-4.6,87.749,3.3,22134.713,-1.4,92.562,5,96.595,0.1,83.303,3.6,89.568,-2.1,116.511,-2.6,87.5,-2.6
3113 - Sugar and confectionery product manufacturing,2003,103.658,-0.7,100.58,0.6,7755.609,0.3,0.338,-3.2,88.117,2.2,95.593,0.8,91.34,1.5,114.144,-1.6,3650.29,3.6,0.159,0,161.755,-1.6,96.203,-1.2,108.374,1.1,22971.893,3.8,87.692,2.7,92.625,-2.3,112.56,2.2,11565.994,6.3,0.503,2.4,98.612,3.9,99.322,1.9,104.258,-0.1,91.154,3.9,22971.893,3.8,95.975,3.7,100.062,3.6,87.663,5.2,89.076,-0.5,117.044,0.5,87.9,0.5
3113 - Sugar and confectionery product manufacturing,2004,104.393,0.7,101.887,1.3,8453.593,9,0.359,6.2,95.356,8.2,98.257,2.8,99.546,9,106.849,-6.4,3536.535,-3.1,0.15,-5.7,151.417,-6.4,100.551,4.5,105.781,-2.4,23573.292,2.6,92.194,5.1,98.078,5.9,108.447,-3.7,11583.164,0.1,0.491,-2.4,101.496,2.9,100.757,1.4,106.363,2,91.689,0.6,23573.292,2.6,91.144,-5,96.944,-3.1,90.73,3.5,93.099,4.5,114.248,-2.4,85.8,-2.4
3113 - Sugar and confectionery product manufacturing,2005,108.019,3.5,101.487,-0.4,9637.835,14,0.382,6.4,105.192,10.3,101.893,3.7,113.628,14.1,96.478,-9.7,3597.256,1.7,0.142,-5.3,136.72,-9.7,105.69,5.1,103.723,-1.9,25248.188,7.1,100.703,9.2,101.769,3.8,107.72,-0.7,12013.097,3.7,0.476,-3.1,111.653,10,105.513,4.7,109.626,3.1,95.281,3.9,25248.188,7.1,89.95,-1.3,98.608,1.7,102.208,12.7,104.478,12.2,104.927,-8.2,78.8,-8.2
3113 - Sugar and confectionery product manufacturing,2006,104.202,-3.5,100.719,-0.8,9696.399,0.6,0.383,0.3,102.882,-2.2,101.031,-0.8,107.205,-5.7,97.898,1.5,3519.874,-2.2,0.139,-2.1,138.733,1.5,102.759,-2.8,102.134,-1.5,25295.263,0.2,102.461,1.7,100.459,-1.3,104.473,-3,12078.99,0.5,0.478,0.4,106.716,-4.4,103.262,-2.1,104.952,-4.3,99.71,4.6,25295.263,0.2,91.935,2.2,96.487,-2.2,98.559,-3.6,99.645,-4.6,105.326,0.4,79.1,0.4
3113 - Sugar and confectionery product manufacturing,2007,100,-4,100,-0.7,8189.494,-15.5,0.339,-11.5,100,-2.8,100,-1,100,-6.7,100,2.1,3648.025,3.6,0.151,8.6,141.711,2.1,100,-2.7,100,-2.1,24171.889,-4.4,100,-2.4,100,-0.5,100,-4.3,12334.371,2.1,0.51,6.7,100,-6.3,100,-3.2,100,-4.7,100,0.3,24171.889,-4.4,100,8.8,100,3.6,100,1.5,100,0.4,100,-5.1,75.1,-5.1
3113 - Sugar and confectionery product manufacturing,2008,92.573,-7.4,98.49,-1.5,6934.118,-15.3,0.294,-13.3,99.947,-0.1,99.983,0,92.524,-7.5,98.542,-1.5,3445.45,-5.6,0.146,-3.3,139.645,-1.5,93.456,-6.5,97.559,-2.4,23557.23,-2.5,99.896,-0.1,94.245,-5.8,96.742,-3.3,13177.661,6.8,0.559,9.6,98.174,-1.8,99.019,-1,91.175,-8.8,106.89,6.9,23557.23,-2.5,103.589,3.6,94.447,-5.6,95.845,-4.2,92.53,-7.5,98.535,-1.5,74,-1.5
3113 - Sugar and confectionery product manufacturing,2009,87.306,-5.7,98.186,-0.3,7394.756,6.6,0.309,5.1,107.509,7.6,102.206,2.2,93.862,1.4,91.328,-7.3,3441.664,-0.1,0.144,-1.4,129.422,-7.3,86.784,-7.1,98.777,1.2,23967.145,1.7,100.381,0.5,84.795,-10,101.093,4.5,13130.725,-0.4,0.548,-2,110.693,12.8,105.822,6.9,85.723,-6,115.667,8.2,23967.145,1.7,110.056,6.2,94.343,-0.1,103.301,7.8,87.708,-5.2,97.736,-0.8,73.4,-0.8
3113 - Sugar and confectionery product manufacturing,2010,95.283,9.1,98.181,0,8782.153,18.8,0.319,3.2,113.14,5.2,103.857,1.6,107.804,14.9,86.778,-5,3811.371,10.7,0.139,-3.5,122.974,-5,90.61,4.4,103.245,4.5,27507.361,14.8,110.222,9.8,84.2,-0.7,111.105,9.9,14913.836,13.6,0.542,-1.1,128.033,15.7,114.557,8.3,93.55,9.1,121.645,5.2,27507.361,14.8,111.681,1.5,104.478,10.7,120.396,16.5,101.088,15.3,92.543,-5.3,69.5,-5.3
3113 - Sugar and confectionery product manufacturing,2011,92.619,-2.8,98.311,0.1,8133.291,-7.4,0.284,-11,106.695,-5.7,102.035,-1.8,98.82,-8.3,92.142,6.2,3814.402,0.1,0.133,-4.3,130.575,6.2,86.233,-4.8,105.591,2.3,28628.596,4.1,112.166,1.8,79.95,-5,113.889,2.5,16680.903,11.8,0.583,7.6,123.602,-3.5,112.311,-2,91.054,-2.7,130.074,6.9,28628.596,4.1,114.834,2.8,104.561,0.1,113.478,-5.7,100.266,-0.8,90.812,-1.9,68.2,-1.9
3113 - Sugar and confectionery product manufacturing,2012,91.904,-0.8,100.471,2.2,7689.397,-5.5,0.26,-8.5,109.546,2.7,102.771,0.7,100.677,1.9,91.715,-0.5,4028.804,5.6,0.136,2.3,129.971,-0.5,84.625,-1.9,109.113,3.3,29530.185,3.1,111.964,-0.2,77.399,-3.2,119.299,4.8,17811.984,6.8,0.603,3.4,130.076,5.2,115.762,3.1,92.336,1.4,132.307,1.7,29530.185,3.1,119.604,4.2,110.438,5.6,120.414,6.1,99.777,-0.5,92.543,1.9,69.5,1.9
3113 - Sugar and confectionery product manufacturing,2013,94.414,2.7,101.376,0.9,7185.772,-6.5,0.245,-5.8,103.919,-5.1,101.41,-1.3,98.114,-2.5,97.553,6.4,4122.724,2.3,0.141,3.7,138.244,6.4,86.744,2.5,110.34,1.1,29335.455,-0.7,109.989,-1.8,80.18,3.6,119.373,0.1,18026.959,1.2,0.615,2,122.367,-5.9,111.535,-3.7,95.713,3.7,126.797,-4.2,29335.455,-0.7,118.074,-1.3,113.013,2.3,115.847,-3.8,98.198,-1.6,97.47,5.3,73.2,5.3
3113 - Sugar and confectionery product manufacturing,2014,94.606,0.2,101.389,0,6932.208,-3.5,0.239,-2.4,97.642,-6,99.892,-1.5,92.375,-5.8,103.837,6.4,4210.394,2.1,0.145,2.8,147.149,6.4,86.976,0.3,110.284,-0.1,28989.88,-1.2,108.749,-1.1,81.599,1.8,117.551,-1.5,17847.278,-1,0.616,0.2,113.207,-7.5,106.323,-4.7,95.92,0.2,125.033,-1.4,28989.88,-1.2,120.325,1.9,115.416,2.1,111.151,-4.1,101.174,3,94.807,-2.7,71.2,-2.7
3113 - Sugar and confectionery product manufacturing,2015,97.464,3,102.028,0.6,7932.493,14.4,0.259,8.4,100.604,3,100.639,0.7,98.053,6.1,101.415,-2.3,4420.829,5,0.145,0,143.717,-2.3,86.88,-0.1,114.457,3.8,30577.979,5.5,110.523,1.6,79.32,-2.8,125.366,6.6,18224.657,2.1,0.596,-3.2,123.617,9.2,112.143,5.5,99.44,3.7,127.214,1.7,30577.979,5.5,121.866,1.3,121.184,5,119.493,7.5,99.308,-1.8,100.133,5.6,75.2,5.6
3113 - Sugar and confectionery product manufacturing,2016,100.52,3.1,103.128,1.1,8053.769,1.5,0.251,-3.1,105.713,5.1,101.921,1.3,106.262,8.4,97.555,-3.8,4734.672,7.1,0.148,2.1,138.246,-3.8,87.251,0.4,118.812,3.8,32028.216,4.7,111.523,0.9,77.307,-2.5,134.094,7,19239.774,5.6,0.601,0.8,137.456,11.2,119.495,6.6,103.664,4.2,127.819,0.5,32028.216,4.7,125.2,2.7,129.787,7.1,133.041,11.3,101.106,1.8,102.53,2.4,77,2.4
3113 - Sugar and confectionery product manufacturing,2017,102.877,2.3,102.3,-0.8,6418.581,-20.3,0.194,-22.7,101.456,-4,100.991,-0.9,104.376,-1.8,100.831,3.4,5023.922,6.1,0.152,2.7,142.889,3.4,83.551,-4.2,125.962,6,33027.297,3.1,108.473,-2.7,71.861,-7,146.453,9.2,21584.793,12.2,0.654,8.8,145.246,5.7,123.698,3.5,105.243,1.5,129.828,1.6,33027.297,3.1,130.855,4.5,137.716,6.1,136.581,2.7,99.418,-1.7,105.859,3.2,79.5,3.2
3113 - Sugar and confectionery product manufacturing,2018,104.084,1.2,100.607,-1.7,5956.37,-7.2,0.179,-7.7,95.34,-6,99.826,-1.2,99.234,-4.9,105.525,4.7,5284.209,5.2,0.159,4.6,149.541,4.7,83.221,-0.4,125.83,-0.1,33279.487,0.8,109.416,0.9,72.049,0.3,145.341,-0.8,22038.907,2.1,0.662,1.2,137.731,-5.2,119.449,-3.4,104.716,-0.5,131.477,1.3,33279.487,0.8,138.327,5.7,144.851,5.2,137.267,0.5,100.053,0.6,104.66,-1.1,78.6,-1.1
3113 - Sugar and confectionery product manufacturing,2019,,,,,,,,,,,,,102.977,3.8,100.577,-4.7,5509.855,4.3,,,142.529,-4.7,,,,,,,,,,,,,,,,,,,,,103.571,-1.1,134.408,2.2,33649.003,1.1,145.829,5.4,151.037,4.3,150.171,9.4,98.209,-1.8,105.459,0.8,79.2,0.8
3114 - Fruit and vegetable preserving and specialty food manufacturing,1987,96.808,,76.643,,8752.662,,0.29,,71.833,,90.226,,69.54,,106.697,,4376.854,,0.145,,364.873,,90.037,,82.407,,30225.212,,64.398,,92.162,,80.507,,17095.697,,0.566,,75.454,,85.602,,74.197,,71.524,,30225.212,,74.153,,55.019,,51.566,,63.302,,117.212,,204.3,
3114 - Fruit and vegetable preserving and specialty food manufacturing,1988,95.816,-1,77.333,0.9,8603.945,-1.7,0.273,-5.9,69.478,-3.3,89.384,-0.9,66.571,-4.3,111.305,4.3,4514.256,3.1,0.143,-1.4,380.63,4.3,87.595,-2.7,84.59,2.6,31526.348,4.3,65.436,1.6,89.272,-3.1,83.001,3.1,18408.147,7.7,0.584,3.2,74.571,-1.2,85.025,-0.7,74.097,-0.1,74.703,4.4,31526.348,4.3,76.584,3.3,56.747,3.1,50.983,-1.1,61.973,-2.1,119.564,2,208.4,2
3114 - Fruit and vegetable preserving and specialty food manufacturing,1989,99.52,3.9,79.088,2.3,9233.121,7.3,0.262,-4,67.461,-2.9,88.682,-0.8,67.137,0.9,117.235,5.3,4987.154,10.5,0.142,-0.7,400.909,5.3,87.421,-0.2,90.033,6.4,35201.983,11.7,68.648,4.9,87.276,-2.2,90.184,8.7,20981.708,14,0.596,2.1,76.925,3.2,86.599,1.9,78.708,6.2,78.526,5.1,35201.983,11.7,79.65,4,62.691,10.5,53.475,4.9,63.749,2.9,123.465,3.3,215.2,3.3
3114 - Fruit and vegetable preserving and specialty food manufacturing,1990,96.257,-3.3,82.206,3.9,9353.297,1.3,0.254,-3.1,68.678,1.8,89.092,0.5,66.107,-1.5,119.698,2.1,5208.68,4.4,0.142,0,409.33,2.1,85.08,-2.7,93.005,3.3,36776.418,4.5,69.427,1.1,84.931,-2.7,93.169,3.3,22214.44,5.9,0.604,1.3,77.837,1.2,87.213,0.7,79.129,0.5,81.602,3.9,36776.418,4.5,82.746,3.9,65.476,4.4,54.701,2.3,62.92,-1.3,125.76,1.9,219.2,1.9
3114 - Fruit and vegetable preserving and specialty food manufacturing,1991,97.455,1.2,85.653,4.2,10123.766,8.2,0.264,3.9,70.838,3.1,89.811,0.8,69.035,4.4,120.914,1,5419.691,4.1,0.141,-0.7,413.489,1,87.433,2.8,95.471,2.7,38322.705,4.2,70.478,1.5,87.511,3,95.385,2.4,22779.248,2.5,0.594,-1.7,78.887,1.3,87.916,0.8,83.473,5.5,80.608,-1.2,38322.705,4.2,81.617,-1.4,68.128,4.1,56.345,3,65.449,4,127.539,1.4,222.3,1.4
3114 - Fruit and vegetable preserving and specialty food manufacturing,1992,94.722,-2.8,87.347,2,10597.025,4.7,0.275,4.2,73.984,4.4,90.869,1.2,70.079,1.5,118.063,-2.4,5697.901,5.1,0.148,5,403.739,-2.4,87.75,0.4,94.288,-1.2,38521.089,0.5,71.732,1.8,88.884,1.6,93.084,-2.4,22226.163,-2.4,0.577,-2.9,78.843,-0.1,87.887,0,82.737,-0.9,81.746,1.4,38521.089,0.5,86.57,6.1,71.626,5.1,60.667,7.7,65.58,0.2,126.162,-1.1,219.9,-1.1
3114 - Fruit and vegetable preserving and specialty food manufacturing,1993,95.604,0.9,88.697,1.5,10845.146,2.3,0.277,0.7,75.725,2.4,91.454,0.6,72.396,3.3,117.131,-0.8,5811.769,2,0.148,0,400.552,-0.8,89.615,2.1,94.625,0.4,39200.085,1.8,72.736,1.4,91.016,2.4,93.167,0.1,22543.169,1.4,0.575,-0.3,79.542,0.9,88.335,0.5,84.798,2.5,81.165,-0.7,39200.085,1.8,86.155,-0.5,73.057,2,62.372,2.8,67.768,3.3,125.129,-0.8,218.1,-0.8
3114 - Fruit and vegetable preserving and specialty food manufacturing,1994,97.227,1.7,89.236,0.6,11819.485,9,0.289,4.3,75.107,-0.8,91.242,-0.2,73.024,0.9,118.812,1.4,5979.817,2.9,0.146,-1.4,406.302,1.4,90.84,1.4,95.51,0.9,40933.771,4.4,75.248,3.5,92.229,1.3,94.071,1,23134.469,2.6,0.565,-1.7,79.177,-0.5,88.104,-0.3,86.761,2.3,82.837,2.1,40933.771,4.4,86.639,0.6,75.17,2.9,63.268,1.4,69.529,2.6,124.785,-0.3,217.5,-0.3
3114 - Fruit and vegetable preserving and specialty food manufacturing,1995,96.497,-0.8,91.047,2,12025.785,1.7,0.286,-1,77.765,3.5,92.159,1,75.041,2.8,117.08,-1.5,6068.949,1.5,0.144,-1.4,400.377,-1.5,91.696,0.9,95.814,0.3,42051.556,2.7,77.058,2.4,93.472,1.3,93.994,-0.1,23956.822,3.6,0.57,0.9,80.282,1.4,88.8,0.8,87.858,1.3,84.037,1.4,42051.556,2.7,86.834,0.2,76.29,1.5,65.161,3,70.246,1,125.072,0.2,218,0.2
3114 - Fruit and vegetable preserving and specialty food manufacturing,1996,95.156,-1.4,92.038,1.1,12328.683,2.5,0.285,-0.3,78.917,1.5,92.547,0.4,75.094,0.1,116.626,-0.4,6196.036,2.1,0.143,-0.7,398.827,-0.4,91.094,-0.7,96.142,0.3,43247.062,2.8,78.978,2.5,93.031,-0.5,94.14,0.2,24722.342,3.2,0.572,0.4,80.72,0.5,89.075,0.3,87.579,-0.3,86.7,3.2,43247.062,2.8,88.934,2.4,77.887,2.1,66.784,2.5,72.278,2.9,121.17,-3.1,211.2,-3.1
3114 - Fruit and vegetable preserving and specialty food manufacturing,1997,94.174,-1,93.648,1.7,13469.535,9.3,0.309,8.4,80.429,1.9,93.07,0.6,75.743,0.9,116.435,-0.2,6377.203,2.9,0.146,2.1,398.173,-0.2,92.505,1.5,95.336,-0.8,43588.896,0.8,80.276,1.6,95.945,3.1,91.919,-2.4,23742.158,-4,0.545,-4.7,78.944,-2.2,87.976,-1.2,88.191,0.7,86.779,0.1,43588.896,0.8,90.899,2.2,80.165,2.9,68.85,3.1,73.974,2.3,119.22,-1.6,207.8,-1.6
3114 - Fruit and vegetable preserving and specialty food manufacturing,1998,97.909,4,95.012,1.5,14672.668,8.9,0.319,3.2,83.012,3.2,93.998,1,81.276,7.3,114.456,-1.7,6419.365,0.7,0.14,-4.1,391.406,-1.7,94.364,2,98.581,3.4,45999.139,5.5,81.926,2.1,95.523,-0.4,97.385,5.9,24907.106,4.9,0.541,-0.7,85.085,7.8,91.629,4.2,93.025,5.5,86.819,0,45999.139,5.5,86.745,-4.6,80.695,0.7,70.503,2.4,79.365,7.3,117.212,-1.7,204.3,-1.7
3114 - Fruit and vegetable preserving and specialty food manufacturing,1999,96.326,-1.6,96.719,1.8,15112.563,3,0.324,1.6,85.402,2.9,94.86,0.9,82.265,1.2,113.251,-1.1,6505.392,1.3,0.139,-0.7,387.285,-1.1,93.464,-1,99.681,1.1,46655.089,1.4,82.177,0.3,94.459,-1.1,98.631,1.3,25037.134,0.5,0.537,-0.7,87.091,2.4,92.788,1.3,93.166,0.2,87.924,1.3,46655.089,1.4,87.775,1.2,81.776,1.3,72.208,2.4,81.316,2.5,114.573,-2.3,199.7,-2.3
3114 - Fruit and vegetable preserving and specialty food manufacturing,2000,95.565,-0.8,99.015,2.4,15700.979,3.9,0.33,1.9,87.888,2.9,95.754,0.9,83.99,2.1,112.661,-0.5,6629.475,1.9,0.14,0.7,385.266,-0.5,94.903,1.5,99.706,0,47513.044,1.8,83.668,1.8,97.151,2.8,97.399,-1.2,25182.59,0.6,0.53,-1.3,86.454,-0.7,92.425,-0.4,94.624,1.6,88.161,0.3,47513.044,1.8,88.071,0.3,83.336,1.9,73.971,2.4,83.382,2.5,113.483,-1,197.8,-1
3114 - Fruit and vegetable preserving and specialty food manufacturing,2001,98.529,3.1,98.982,0,17172.619,9.4,0.347,5.2,90.869,3.4,96.843,1.1,89.532,6.6,108.928,-3.3,6649.805,0.3,0.134,-4.3,372.501,-3.3,98.359,3.6,99.152,-0.6,49488.948,4.2,87.634,4.7,100.29,3.2,97.244,-0.2,25666.523,1.9,0.519,-2.1,89.274,3.3,93.994,1.7,97.526,3.1,89.096,1.1,49488.948,4.2,85.713,-2.7,83.592,0.3,76.74,3.7,87.128,4.5,111.933,-1.4,195.1,-1.4
3114 - Fruit and vegetable preserving and specialty food manufacturing,2002,100.615,2.1,99.443,0.5,19051.056,10.9,0.373,7.5,94.444,3.9,98.198,1.4,95.025,6.1,105.293,-3.3,7104.079,6.8,0.139,3.7,360.07,-3.3,102.332,4,97.774,-1.4,51016.46,3.1,91.612,4.5,105.17,4.9,95.136,-2.2,24861.325,-3.1,0.487,-6.2,90.354,1.2,94.564,0.6,100.054,2.6,89.524,0.5,51016.46,3.1,89.254,4.1,89.302,6.8,84.813,10.5,93.811,7.7,106.655,-4.7,185.9,-4.7
3114 - Fruit and vegetable preserving and specialty food manufacturing,2003,99.111,-1.5,98.615,-0.8,17887.176,-6.1,0.356,-4.6,92.694,-1.9,97.53,-0.7,91.87,-3.3,106.388,1,7069.485,-0.5,0.141,1.4,363.814,1,101.322,-1,96.463,-1.3,50211.912,-1.6,91.393,-0.2,105.236,0.1,92.876,-2.4,25255.251,1.6,0.503,3.3,87.299,-3.4,92.967,-1.7,97.739,-2.3,90.2,0.8,50211.912,-1.6,90.923,1.9,88.867,-0.5,83.532,-1.5,91.689,-2.3,106.598,-0.1,185.8,-0.1
3114 - Fruit and vegetable preserving and specialty food manufacturing,2004,98.935,-0.2,97.833,-0.8,17118.107,-4.3,0.341,-4.2,95.722,3.3,98.629,1.1,94.703,3.1,102.205,-3.9,6895.379,-2.5,0.137,-2.8,349.511,-3.9,101.688,0.4,95.184,-1.3,50252.332,0.1,92.695,1.4,105.236,0,91.975,-1,26238.846,3.9,0.522,3.8,89.991,3.1,94.425,1.6,96.791,-1,91.156,1.1,50252.332,0.1,89.552,-1.5,86.679,-2.5,84.809,1.5,92.645,1,104.475,-2,182.1,-2
3114 - Fruit and vegetable preserving and specialty food manufacturing,2005,98.382,-0.6,98.324,0.5,15655.891,-8.5,0.303,-11.1,100.273,4.8,100.115,1.5,98.65,4.2,98.056,-4.1,7377.89,7,0.143,4.4,335.322,-4.1,99.101,-2.5,97.61,2.5,51588.308,2.7,92.795,0.1,99.585,-5.4,97.135,5.6,28554.527,8.8,0.554,6.1,99.061,10.1,99.43,5.3,96.733,-0.1,93.636,2.7,51588.308,2.7,95.877,7.1,92.744,7,94.583,11.5,96.346,4,100.402,-3.9,175,-3.9
3114 - Fruit and vegetable preserving and specialty food manufacturing,2006,98.002,-0.4,97.851,-0.5,16125.266,3,0.305,0.7,95.886,-4.4,98.761,-1.4,93.97,-4.7,102.05,4.1,7403.206,0.3,0.14,-2.1,348.979,4.1,97.991,-1.1,97.862,0.3,52822.085,2.4,94.77,2.1,99.011,-0.6,96.854,-0.3,29293.612,2.6,0.555,0.2,94.909,-4.2,97.099,-2.3,95.896,-0.9,96.713,3.3,52822.085,2.4,97.045,1.2,93.062,0.3,91.193,-3.6,93.378,-3.1,102.697,2.3,179,2.3
3114 - Fruit and vegetable preserving and specialty food manufacturing,2007,100,2,100,2.2,16413.719,1.8,0.288,-5.6,100,4.3,100,1.3,100,6.4,100,-2,7955.11,7.5,0.14,0,341.97,-2,100,2.1,100,2.2,56955.216,7.8,100,5.5,100,1,100,3.2,32586.387,11.2,0.572,3.1,100,5.4,100,3,100,4.3,100,3.4,56955.216,7.8,100,3,100,7.5,100,9.7,100,7.1,100,-2.6,174.3,-2.6
3114 - Fruit and vegetable preserving and specialty food manufacturing,2008,97.684,-2.3,100.094,0.1,15056.622,-8.3,0.255,-11.5,100.151,0.2,100.041,0,97.831,-2.2,99.943,-0.1,8032.069,1,0.136,-2.9,341.775,-0.1,97.002,-3,100.798,0.8,59039.356,3.7,102.839,2.8,96.498,-3.5,101.324,1.3,35950.665,10.3,0.609,6.5,101.382,1.4,100.814,0.8,97.775,-2.2,106.018,6,59039.356,3.7,103.265,3.3,100.967,1,101.025,1,98.283,-1.7,99.484,-0.5,173.4,-0.5
3114 - Fruit and vegetable preserving and specialty food manufacturing,2009,92.678,-5.1,101.041,0.9,16282.487,8.1,0.273,7.1,99.485,-0.7,99.865,-0.2,92.201,-5.8,101.563,1.6,8292.086,3.2,0.139,2.2,347.316,1.6,91.028,-6.2,102.872,2.1,59746.099,1.2,101.971,-0.8,90.03,-6.7,104.012,2.7,35171.526,-2.2,0.589,-3.3,102.412,1,101.426,0.6,93.643,-4.2,112.022,5.7,59746.099,1.2,111.312,7.8,104.236,3.2,102.632,1.6,93.375,-5,100.287,0.8,174.8,0.8
3114 - Fruit and vegetable preserving and specialty food manufacturing,2010,91.381,-1.4,100.767,-0.3,16686.688,2.5,0.285,4.4,94.252,-5.3,98.373,-1.5,86.129,-6.6,106.912,5.3,8318.419,0.3,0.142,2.2,365.608,5.3,93.482,2.7,98.503,-4.2,58597.452,-1.9,104.447,2.4,96.462,7.1,95.46,-8.2,33592.345,-4.5,0.573,-2.7,89.288,-12.8,93.658,-7.7,92.083,-1.7,111.729,-0.3,58597.452,-1.9,113.558,2,104.567,0.3,97.806,-4.7,92.454,-1,99.598,-0.7,173.6,-0.7
3114 - Fruit and vegetable preserving and specialty food manufacturing,2011,91.466,0.1,99.792,-1,17369.007,4.1,0.291,2.1,95.929,1.8,98.873,0.5,87.743,1.9,104.027,-2.7,8295.705,-0.3,0.139,-2.1,355.74,-2.7,97.673,4.5,93.45,-5.1,59783.296,2,112.322,7.5,103.628,7.4,88.081,-7.7,34118.585,1.6,0.571,-0.3,84.671,-5.2,90.857,-3,91.276,-0.9,114.998,2.9,59783.296,2,114.249,0.6,104.281,-0.3,100.245,2.5,92.015,-0.5,99.197,-0.4,172.9,-0.4
