Production Account Quantity Index Value Added (2012=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail trade,46.952,51.264,53.251,53.822,53.674,56.099,59.325,63.369,66.180,71.428,76.924,84.315,87.418,90.341,93.614,97.723,102.738,104.498,107.884,108.718,105.159,101.306,97.036,99.096,99.279,100.000,103.112,105.003,108.510,112.261,116.223,120.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air transportation,51.816,57.334,61.899,69.887,64.955,73.813,77.206,90.667,95.373,104.051,112.866,108.641,106.679,87.074,59.540,60.385,64.923,77.131,81.340,88.877,95.949,91.410,91.032,105.211,105.311,100.000,105.016,109.249,116.306,127.432,135.129,143.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rail transportation,76.963,78.519,72.976,76.374,86.063,87.136,87.405,91.545,93.401,94.813,89.440,94.896,99.236,105.057,101.833,91.857,99.697,105.125,106.062,109.426,106.744,109.108,97.471,96.620,97.193,100.000,98.248,102.236,103.043,95.377,97.554,99.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water transportation,25.702,26.901,30.261,35.846,37.018,39.512,40.972,43.570,41.396,43.573,45.900,41.865,34.113,36.713,35.092,25.482,25.455,29.309,35.373,56.794,72.503,87.456,116.022,95.266,98.933,100.000,125.656,116.403,99.811,85.233,80.639,80.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Truck transportation,54.918,56.248,59.103,59.200,62.963,68.294,71.780,78.673,80.254,85.507,89.676,93.360,97.989,101.337,96.135,93.465,95.042,98.925,101.217,106.031,106.299,98.125,89.766,94.954,99.227,100.000,99.727,103.165,102.778,101.690,107.395,106.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transit and ground passenger transportation,51.351,49.697,52.770,56.024,52.777,51.439,55.002,59.079,61.092,63.039,72.223,74.414,83.207,86.689,85.865,84.795,87.510,89.401,88.150,91.916,93.457,95.472,89.652,91.363,95.080,100.000,100.345,107.158,106.181,104.404,109.763,116.702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pipeline transportation,33.565,33.366,36.433,38.546,41.113,42.170,39.574,38.545,43.208,39.187,38.067,62.682,70.183,62.190,108.653,65.994,67.882,67.929,62.282,59.703,66.277,78.700,70.153,86.289,87.253,100.000,98.815,109.025,133.311,135.425,138.799,152.180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other transportation and support activities,83.550,83.405,85.416,85.448,91.606,96.203,98.375,98.942,96.968,99.294,102.147,109.080,103.977,112.268,112.828,115.219,116.229,123.861,132.456,134.956,120.045,120.313,107.107,106.790,104.213,100.000,97.726,96.683,98.554,99.238,102.764,108.799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warehousing and storage,28.179,30.314,30.889,30.955,32.671,35.820,37.543,40.227,42.383,43.941,48.489,56.522,54.612,58.214,55.115,55.979,59.881,69.972,79.898,85.674,80.922,85.462,83.984,87.023,91.554,100.000,105.621,110.546,116.666,128.596,135.632,144.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Publishing industries, except internet (includes software)",30.693,31.996,34.807,35.020,34.830,37.405,39.139,43.036,44.102,50.879,56.088,61.130,76.583,62.619,60.446,69.887,74.389,83.777,89.281,82.861,97.735,95.073,88.838,93.857,97.163,100.000,103.137,106.140,108.827,113.324,121.292,132.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
