year,NAICS,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,Industry,Basis,weight,tfp_pct_change,tfp_index_2017,firms_percent_destroyed,eer,pct_high_growth_emp,tfp_log,tfp_diff3,tfp_ann_pct
1988,324,1271,2131,113727,113439,193,9.106,170,8.021,11168,5455,5713,4.809,9.845,10462,3732,6730,3.29,9.223,706,0.622,18.445,93,96,2262,Petroleum and coal products,All workers,0.0388504975875006,1.2,83.944,7.317073170731707,4.808751840196052,3.0837004405286343,4.43014990985561,,
1988,325,8527,12266,903832,890976,1126,9.269,891,7.334,107309,35794,71515,4.017,12.044,83419,28623,54796,3.213,9.363,23890,2.681,18.725,526,535,7950,Chemical products,All workers,0.0743576095057963,-2.3,118.471,6.168640788084907,4.017392163200804,1.7088352702714666,4.774668204886559,,
1988,326,11846,14253,846501,828523,1334,9.45,1062,7.523,120159,31656,88503,3.821,14.503,84585,27752,56833,3.35,10.209,35574,4.294,20.418,749,759,12333,Plastics and rubber products,All workers,0.0288265881472392,-0.7,82.246,6.322809387134898,3.820775041851584,3.552742406683512,4.4097147562440515,,
1988,327,11724,15201,513184,509224,1423,9.419,1237,8.188,73000,21868,51132,4.294,14.336,64724,22574,42150,4.433,12.71,8276,1.625,25.421,858,866,10798,Nonmetallic mineral products,All workers,0.0179561333305838,1.7,93.746,7.318321392016376,4.294377327070209,4.23473841740974,4.5405889972736055,,
1988,331,4363,5320,645880,628777,443,8.366,393,7.422,84456,26621,57835,4.234,13.432,49697,19963,29734,3.175,7.904,34759,5.528,15.808,248,252,5592,Primary metal products,All workers,0.0367672462534888,-3.0,76.07,5.68416227366491,4.233774454218269,3.4048120393881214,4.33165396900921,,
1988,332,51034,54817,1656428,1633377,5054,9.278,4361,8.006,239491,60811,178680,3.723,14.662,192397,61546,130851,3.768,11.779,47094,2.883,23.558,3286,3294,33768,Fabricated metal products,All workers,0.0476258306921727,1.1,104.316,6.4388446917741105,3.723022915101658,4.441605671964009,4.647424753884928,,
1988,333,25628,28155,1352864,1331380,2195,7.82,2021,7.2,192663,52481,140182,3.942,14.471,149369,59041,90328,4.435,11.219,43294,3.252,22.438,1444,1451,20426,Machinery,All workers,0.0494179453875131,5.8,109.212,5.634462306851881,3.9418498099716084,3.241715353501904,4.693290947383219,,
1988,334,12784,14908,1800362,1794952,1987,13.567,1463,9.989,218972,66916,152056,3.728,12.199,208631,69604,139027,3.878,11.623,10341,0.576,23.246,1011,1023,17302,Computer and electronic products,All workers,0.0682021937707983,6.2,17.273,7.9083229036295375,3.728010554042671,3.114262576081922,2.8491445887111473,,
1988,335,5777,6945,642625,639290,629,9.071,608,8.768,83784,29251,54533,4.576,13.106,75983,33656,42327,5.265,11.886,7801,1.22,23.771,398,403,7962,"Electrical equipment, appliances, and components",All workers,0.0235780068135962,0.5,95.069,6.889388956205643,4.57554474495143,3.2473059716008557,4.554602943750351,,
1988,337,17555,18748,612665,603358,2501,13.49,2083,11.236,97576,34621,62955,5.738,16.172,79278,31654,47624,5.246,13.139,18298,3.033,26.279,1619,1626,17793,Furniture and related products,All workers,0.01294527193474,-0.7,100.768,9.22244374821988,5.738052698397967,5.157957448197628,4.612820844918614,,
