year,NAICS,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,Industry,Basis,weight,tfp_pct_change,tfp_index_2017,firms_percent_destroyed
1989,21,20541,25715,559419,569324,2954,11.307,3775,14.449,101783,37868,63915,6.651,17.878,121638,49450,72188,8.686,21.365,-19855,-3.487,35.756,2553,2591,22092,Mining,All workers,0.006267391002864168,-1.9,69.2,12.428800934715934
1989,22,6317,12872,766130,769107,817,6.394,630,4.93,40384,12955,27429,1.684,5.251,46124,10914,35210,1.419,5.997,-5740,-0.746,10.502,287,287,1740,Utilities,All workers,0.012771753470916873,5.9,79.15,4.543295868291911
1989,23,504326,510558,5204540,5137253,80363,15.867,72230,14.261,1357611,387952,969659,7.552,26.427,1222949,392672,830277,7.644,23.806,134662,2.621,47.611,54879,54963,287822,Construction,All workers,0.027928535894666914,-0.6,115.762,10.881651947351514
1989,31-33,295000,342828,17314214,17173519,34970,10.245,32006,9.376,2140653,578054,1562599,3.366,12.465,1859014,655099,1203915,3.815,10.825,281639,1.64,21.65,23601,23859,281067,Manufacturing sector,All workers,0.09924798244756947,-1,77.249,8.000338983050847
1989,42,286542,367369,4921903,4853518,41693,11.409,37803,10.345,870809,277880,592929,5.725,17.942,733907,309877,424030,6.385,15.121,136902,2.821,30.242,25562,26349,155710,Wholesale trade,All workers,0.020943720584335985,3,71.767,8.920856279358699
1989,44-45,737428,1090426,12741033,12552024,126845,11.692,115677,10.663,2253092,950715,1302377,7.574,17.95,1882719,704711,1178008,5.614,14.999,370373,2.951,29.999,78154,82746,404367,,,,,,10.598187212853324
1989,48-49,107196,134964,3095941,3048543,21170,15.858,18241,13.664,584759,196337,388422,6.44,19.182,493794,183055,310739,6.005,16.198,90965,2.984,32.395,13085,13316,88334,Transportation and warehousing,All workers,0.014627451882279584,-0.2,78.811,12.206612187021904
1989,51,49392,81496,2633366,2611671,13391,16.82,9627,12.092,447034,161745,285289,6.193,17.117,403779,150733,253046,5.772,15.461,43255,1.656,30.921,5650,5807,51704,Information,All workers,0.01626629552342698,1.4,78.51,11.43909944930353
1989,52,175222,302300,5348773,5306460,43755,14.647,36609,12.255,938597,401285,537312,7.562,17.688,865981,337698,528283,6.364,16.319,72616,1.368,32.639,15593,15823,127466,Finance and insurance,All workers,0.02451189934523613,-0.8,97.834,8.898996701327459
1989,53,200708,224871,1631655,1607433,35185,15.806,30648,13.768,391657,164482,227175,10.233,24.365,341696,140959,200737,8.769,21.257,49961,3.108,42.514,23309,23760,101816,Real estate and rental and leasing,All workers,0.024566219757657194,-0.9,103.339,11.613388604340633
1989,54,412647,443504,4556624,4414368,66410,15.206,52895,12.111,994675,360009,634666,8.155,22.533,711645,296728,414917,6.722,16.121,283030,6.412,32.242,39543,39957,172953,"Professional, scientific, and technical services",All workers,0.020028811162556504,1,93.188,9.582766868534122
1989,55,26566,49793,3181866,3126658,6778,13.941,4433,9.118,617713,234608,383105,7.503,19.756,509600,123783,385817,3.959,16.299,108113,3.458,32.597,956,989,14571,Management of companies and enterprises,All workers,0.006291456332924972,5,105.689,3.5985846570804787
1989,56,198476,225000,4227258,4053326,42806,19.533,31110,14.196,1180120,419320,760800,10.345,29.115,835153,291334,543819,7.188,20.604,344967,8.511,41.208,23801,24035,182501,Administrative and waste management services,All workers,0.008731552737249824,0.6,90.854,11.9918781112074
1989,61,37277,41519,1759880,1725415,5172,12.668,3788,9.278,203669,43483,160186,2.52,11.804,134581,34262,100319,1.986,7.8,69088,4.004,15.6,2820,2891,24446,Educational services,All workers,0.0019183429734278635,-0.6,103.773,7.564986452772487
1989,62,446273,508804,9857342,9638980,49183,9.786,36715,7.305,1309218,433005,876213,4.492,13.583,872088,338494,533594,3.512,9.048,437130,4.535,18.095,27507,28165,214601,Health care and social assistance,All workers,0.018789046464922975,-0.9,113.721,6.1637159317278885
1989,71,65256,70164,1034389,1011289,12290,17.832,9804,14.225,226548,79320,147228,7.843,22.402,179275,65708,113567,6.497,17.727,47273,4.675,35.455,7521,7633,48495,"Arts, entertainment, and recreation",All workers,0.0025984686872970618,2.3,96.552,11.525376976829717
1989,72,320815,420952,7940150,7800710,67196,16.151,57412,13.799,1740844,888444,852400,11.389,22.316,1461666,653975,807691,8.384,18.738,279178,3.579,37.475,41907,43273,427311,Accommodation and food services,All workers,0.011774616391435176,-0.8,90.761,13.062668516122999
1989,81,548822,598576,4382280,4293087,69404,11.719,56767,9.585,814233,293151,521082,6.828,18.966,636354,231906,404448,5.402,14.823,177879,4.143,29.646,42287,43298,167233,"Other services, except government",All workers,0.009488623475393256,-0.1,101.859,7.705048267015535
1990,11,19708,20253,183371,181703,3324,16.681,2672,13.409,46112,18947,27165,10.427,25.378,42821,15575,27246,8.572,23.566,3291,1.811,47.133,1934,1946,10354,"Agriculture, forestry, fishing, and hunting",All workers,0.008622188386067962,5.5,70.492,9.813273797442664
1990,21,20355,25414,568097,562410,2982,11.655,3324,12.992,103721,31111,72610,5.532,18.442,92228,36632,55596,6.513,16.399,11493,2.044,32.797,2204,2238,16444,Mining,All workers,0.006639255877740221,-0.4,68.933,10.827806435765169
1990,22,6428,13214,777011,771654,983,7.542,622,4.772,50872,19205,31667,2.489,6.593,40623,6817,33806,0.883,5.264,10249,1.328,10.529,339,339,2056,Utilities,All workers,0.012383877458854444,4.5,82.749,5.273802115743622
1990,23,513947,520168,5323886,5263951,81774,15.866,72278,14.023,1371313,385619,985694,7.326,26.051,1251115,383881,867234,7.293,23.768,120198,2.283,47.535,55039,55106,299741,Construction,All workers,0.026772014715222944,-0.8,114.859,10.709080897446624
1990,31-33,297134,345448,17066980,17204222,33755,9.81,31058,9.026,1745704,517990,1227714,3.011,10.147,2020196,559735,1460461,3.253,11.742,-274492,-1.595,20.294,23666,23862,260766,Manufacturing sector,All workers,0.09640101489594863,0,77.216,7.964756641784515
1990,42,288948,371803,5030998,4976059,40839,11.051,36344,9.835,827441,273618,553823,5.499,16.628,717896,265117,452779,5.328,14.427,109545,2.201,28.854,25517,26346,159467,Wholesale trade,All workers,0.021143581375434175,-0.5,71.391,8.83100073369603
1990,44-45,733726,1094884,12973847,12865081,120244,11.003,116113,10.625,2098076,863071,1235005,6.709,16.308,1881720,684240,1197480,5.319,14.627,216356,1.682,29.253,79862,84140,414628,,,,,,10.884444601935872
1990,48-49,108856,137187,3209996,3152196,20608,15.145,18370,13.501,579761,183992,395769,5.837,18.392,463421,173145,290276,5.493,14.702,116340,3.691,29.403,13488,13688,90663,Transportation and warehousing,All workers,0.014880585374452542,0.8,79.478,12.39068126699493
1990,51,50546,82899,2731731,2685195,11336,13.791,9935,12.087,425160,150598,274562,5.608,15.833,332826,120322,212504,4.481,12.395,92334,3.439,24.79,5695,5791,47444,Information,All workers,0.01645066805964517,-0.4,78.201,11.266964744984765
1990,52,177809,311065,5484115,5435638,37309,12.165,28581,9.319,907958,336630,571328,6.193,16.704,810598,255747,554851,4.705,14.913,97360,1.791,29.825,15484,15602,99818,Finance and insurance,All workers,0.024022563261187006,-0.4,97.428,8.708220618753831
1990,53,202270,228102,1683306,1657185,33768,14.912,30463,13.452,387601,167617,219984,10.115,23.389,335214,146352,188862,8.831,20.228,52387,3.161,40.456,23158,23565,100070,Real estate and rental and leasing,All workers,0.025563788405798146,-1.1,102.167,11.449053245661739
1990,54,424217,456672,4781723,4669529,65608,14.581,52169,11.594,938787,332757,606030,7.126,20.105,716594,260819,455775,5.586,15.346,222193,4.758,30.692,39726,40049,179607,"Professional, scientific, and technical services",All workers,0.02065052679415052,1.8,94.89,9.3645469182046
1990,55,27647,52036,3257969,3214607,6803,13.364,4544,8.926,559237,184855,374382,5.75,17.397,471939,116154,355785,3.613,14.681,87298,2.716,29.362,1034,1063,12361,Management of companies and enterprises,All workers,0.006324653092942071,2.2,108.043,3.7400079574637397
1990,56,207346,235539,4575426,4415391,42867,18.613,32412,14.073,1217062,421350,795712,9.543,27.564,897444,308048,589396,6.977,20.325,319618,7.239,40.651,24983,25276,195155,Administrative and waste management services,All workers,0.009231532285877003,0.7,91.535,12.048942347573622
1990,61,38802,43218,1846392,1811350,5471,12.893,3906,9.205,211440,54487,156953,3.008,11.673,141974,41121,100853,2.27,7.838,69466,3.835,15.676,2898,2946,21538,Educational services,All workers,0.001975048486732799,-0.7,103.034,7.46868718107314
1990,62,455362,522674,10398417,10151303,48534,9.406,35133,6.809,1310352,413185,897167,4.07,12.908,814196,277968,536228,2.738,8.021,496156,4.888,16.041,26942,27507,180869,Health care and social assistance,All workers,0.019819773287883535,-1,112.573,5.9166113992823295
1990,71,65591,70509,1102999,1067600,10649,15.159,10126,14.415,236605,78209,158396,7.326,22.162,165590,63150,102440,5.915,15.51,71015,6.652,31.021,7783,7860,46919,"Arts, entertainment, and recreation",All workers,0.002769717432622936,4.2,100.615,11.865957219740514
1990,72,324747,428110,8143040,8043498,65343,15.389,58318,13.735,1685248,854671,830577,10.626,20.952,1486067,630432,855635,7.838,18.475,199181,2.476,36.951,42908,44087,421049,Accommodation and food services,All workers,0.011841699358402307,0.2,90.959,13.212747153938299
1990,81,558253,610188,4533140,4461629,67783,11.213,56464,9.34,793248,274403,518845,6.15,17.779,649419,220600,428819,4.944,14.556,143829,3.224,29.111,42762,43453,161626,"Other services, except government",All workers,0.009548156614673856,-0.4,101.431,7.659967792380875
1991,11,20140,20668,183846,185670,2904,14.042,2931,14.172,44657,16156,28501,8.701,24.052,48638,16649,31989,8.967,26.196,-3981,-2.144,48.104,2076,2081,11948,"Agriculture, forestry, fishing, and hunting",All workers,0.008255720418552276,0.8,71.025,10.307845084409136
1991,21,21032,26047,570265,571659,3033,11.603,3219,12.314,100021,38156,61865,6.675,17.497,102834,36524,66310,6.389,17.989,-2813,-0.492,34.993,2160,2191,18949,Mining,All workers,0.00601137164056026,1.1,69.713,10.270064663370103
1991,22,6498,13880,775093,777345,1227,9.005,719,5.277,53751,23571,30180,3.032,6.915,58046,11275,46771,1.45,7.467,-4295,-0.553,13.829,400,402,3218,Utilities,All workers,0.012677747216595826,-2.2,80.893,6.155740227762388
1991,23,510450,516740,4755722,5057276,71441,13.691,81606,15.639,1000927,303643,697284,6.004,19.792,1606295,452253,1154042,8.943,31.762,-605368,-11.97,39.584,59015,59110,339106,Construction,All workers,0.024527236555101313,-0.2,114.614,11.561367420903125
1991,31-33,297140,345066,16086581,16579733,29814,8.585,34227,9.856,1433469,406520,1026949,2.452,8.646,2421120,738982,1682138,4.457,14.603,-987651,-5.957,17.292,25667,25982,424488,Manufacturing sector,All workers,0.0940162219507039,-0.1,77.137,8.638015750151444
1991,42,277953,362004,4762289,4837864,40316,11.14,40104,11.082,708281,257814,450467,5.329,14.64,860802,334387,526415,6.912,17.793,-152521,-3.153,29.281,27269,28066,199322,Wholesale trade,All workers,0.020841438982026957,4.3,74.481,9.810651441070972
1991,44-45,714820,1078126,12595258,12780784,110409,10.168,125918,11.596,1827650,800832,1026818,6.266,14.3,2201758,812000,1389758,6.353,17.227,-374108,-2.927,28.6,82780,87716,483965,,,,,,11.580537757757197
